                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2226,                 2.8021,                 1.6181,                 1.4866,                 0.3819,                0.44598,                0.33459,                 0.1407,                0.31513,                0.25747,                0.16253,                0.05424,                 1.8175,                 4.6643,                   2.16,                 1.9436,             0.00066421,             0.00066421,             0.00066421
                      2,                 1.2718,                 2.4593,                 1.3645,                   1.48,                 0.6525,                0.71149,                0.62595,                0.34494,                0.57384,                0.62759,                0.52445,                0.25471,                 1.2275,                 4.0986,                 1.5968,                 1.6119,              0.0013045,              0.0013045,              0.0013045
                      3,                  1.268,                 2.4484,                 1.3004,                 1.4654,                0.47559,                0.42989,                0.41648,                0.20492,                0.47332,                0.31494,                0.28312,                0.11968,                 1.6168,                 4.4158,                 1.9537,                 1.7037,              0.0019184,              0.0019184,              0.0019184
                      4,                 1.2206,                 2.3872,                 1.2463,                 1.4271,                0.66876,                0.61609,                0.64336,                0.35916,                0.57859,                0.55517,                0.51727,                0.23731,                 1.1829,                   3.21,                 1.5537,                 1.4493,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.1832,                 2.3576,                  1.207,                 1.4137,                  0.746,                0.70115,                0.68317,                0.40405,                0.65574,                0.58736,                0.54661,                0.27112,                 1.1719,                 3.3396,                 1.6309,                 1.4671,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.1673,                 2.3201,                 1.1604,                 1.3938,                0.76221,                0.69425,                0.72817,                0.43807,                0.70645,                0.62529,                0.65349,                 0.3375,                 1.1646,                 2.8643,                 1.3836,                 1.3883,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.1473,                 2.2607,                 1.1469,                 1.3794,                0.57448,                0.56437,                0.56742,                0.31823,                0.57282,                0.53448,                0.54587,                0.28809,                 1.3137,                 2.9858,                 1.7356,                 1.5095,               0.001802,               0.001802,               0.001802
                      8,                 1.1111,                 2.2089,                 1.0957,                 1.3626,                0.61056,                0.56782,                0.56902,                0.34061,                0.62868,                0.55287,                0.57128,                0.33193,                 1.1757,                 2.7467,                 1.5659,                 1.3794,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.0839,                 2.1955,                 1.0872,                  1.349,                0.78022,                0.67701,                0.74279,                 0.4967,                 0.7604,                0.64138,                0.69995,                0.41984,                 1.0566,                  2.675,                 1.2383,                 1.3045,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.0815,                 2.1403,                 1.0493,                 1.3439,                0.80794,                0.73563,                0.77152,                0.51373,                0.78005,                0.68621,                0.70219,                0.42946,                 1.0313,                 2.6001,                 1.1506,                 1.3195,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.0533,                 2.1542,                  1.035,                 1.3291,                0.84517,                0.75295,                0.79883,                0.55582,                0.80995,                 0.7103,                0.74283,                0.46704,                0.99695,                 2.6008,                 1.1153,                 1.2809,              0.0016436,              0.0016436,              0.0016436
                     12,                  1.058,                 2.1185,                 1.0345,                 1.3238,                0.77841,                0.68391,                0.75783,                0.50793,                0.76603,                0.66437,                0.72693,                0.44257,                 1.0108,                 2.5939,                 1.2013,                 1.2658,               0.001604,               0.001604,               0.001604
                     13,                 1.0551,                 2.1064,                 1.0441,                 1.3313,                 0.8455,                0.72969,                0.77863,                 0.5295,                0.80298,                0.68966,                0.70003,                0.42046,                 0.9378,                 2.5925,                 1.1355,                 1.2261,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.0319,                 2.0703,                 1.0004,                 1.3113,                 0.8011,                0.72644,                0.78423,                0.55558,                0.82474,                0.69774,                0.75288,                0.48011,                0.94655,                 2.5033,                  1.065,                 1.2076,              0.0015248,              0.0015248,              0.0015248
                     15,                  1.018,                 2.0708,                0.98419,                  1.299,                 0.7918,                0.69067,                0.76117,                0.48352,                0.79784,                0.67137,                0.73623,                0.44458,                 1.1015,                 2.5057,                  1.236,                 1.3282,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.0028,                 2.0272,                0.96585,                  1.294,                0.82992,                0.68851,                0.77783,                0.54404,                0.81521,                0.67126,                0.74463,                0.47029,                0.93644,                 2.6019,                  1.093,                 1.2068,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.0161,                 2.0356,                0.96145,                 1.2949,                0.75003,                0.71034,                 0.7627,                0.52224,                 0.7823,                0.68276,                0.74294,                0.45617,                0.98066,                 2.5071,                 1.1512,                 1.2228,               0.001406,               0.001406,               0.001406
                     18,                 1.0034,                 2.0116,                0.96239,                  1.289,                0.81314,                0.71379,                0.79703,                 0.5559,                0.81837,                0.69655,                0.76275,                0.47867,                0.98516,                 2.5168,                  1.035,                 1.2314,              0.0013664,              0.0013664,              0.0013664
                     19,                0.99322,                 2.0289,                0.95446,                 1.2864,                0.83608,                0.74457,                0.80614,                0.58324,                0.81374,                 0.7231,                0.76427,                 0.4973,                0.91105,                 2.3785,                 1.0043,                 1.1903,              0.0013268,              0.0013268,              0.0013268
                     20,                0.98744,                 2.0164,                0.94405,                 1.2753,                 0.8775,                0.75517,                0.81703,                0.59113,                0.85261,                0.73333,                0.78206,                0.51317,                0.90245,                 2.3683,                0.93658,                 1.1672,              0.0012872,              0.0012872,              0.0012872
                     21,                0.98626,                 1.9657,                 0.9356,                 1.2796,                0.83432,                0.71494,                0.78633,                0.55917,                0.82394,                0.69425,                0.76104,                 0.4825,                0.91933,                 2.4916,                 1.0696,                 1.1726,              0.0012476,              0.0012476,              0.0012476
                     22,                0.98017,                 1.9681,                 0.9357,                 1.2748,                0.87499,                0.73211,                0.80951,                0.59481,                0.84213,                0.70345,                0.76855,                 0.5008,                0.89645,                 2.3424,                0.98961,                 1.1786,               0.001208,               0.001208,               0.001208
                     23,                0.96556,                 1.9668,                0.92656,                 1.2698,                0.82165,                0.73793,                0.79486,                0.57147,                0.81269,                0.72989,                0.77738,                0.50789,                0.90333,                 2.4195,                 1.0283,                 1.1652,              0.0011684,              0.0011684,              0.0011684
                     24,                0.97005,                 1.9652,                0.91788,                 1.2691,                  0.904,                0.74023,                 0.8238,                0.60418,                0.87031,                0.71264,                0.77545,                0.51819,                0.86855,                 2.3961,                0.90437,                 1.1555,              0.0011288,              0.0011288,              0.0011288
                     25,                0.97383,                 1.9518,                0.91412,                 1.2644,                0.85782,                0.76976,                0.82186,                0.60033,                0.86502,                0.72191,                 0.7868,                0.52126,                0.87311,                  2.277,                0.95367,                 1.1547,              0.0010892,              0.0010892,              0.0010892
                     26,                0.94895,                 1.9309,                0.90579,                  1.255,                0.88699,                0.75781,                0.81393,                0.58853,                 0.8542,                0.73218,                 0.7725,                0.49576,                0.90657,                 2.4266,                0.97038,                 1.1945,              0.0010496,              0.0010496,              0.0010496
                     27,                0.95002,                 1.9271,                0.89856,                 1.2561,                0.86986,                0.76059,                0.82722,                0.60542,                0.86084,                0.74658,                0.79759,                0.52286,                 0.8452,                 2.2876,                0.90197,                 1.1355,                0.00101,                0.00101,                0.00101
                     28,                0.92809,                 1.8888,                0.87526,                 1.2472,                0.89669,                0.76322,                 0.8274,                0.61336,                0.87828,                0.72987,                0.78528,                0.52352,                0.87644,                 2.3127,                0.90759,                 1.1662,              0.0009704,              0.0009704,              0.0009704
                     29,                0.94159,                 1.9203,                0.89006,                 1.2545,                0.88463,                0.77563,                0.82555,                0.61115,                0.84902,                0.74713,                  0.783,                0.52004,                0.87775,                 2.3081,                0.88977,                 1.1702,              0.0009308,              0.0009308,              0.0009308
