                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2672,                 3.1005,                 2.3441,                 1.7935,                0.52906,                0.52644,                0.52936,                0.28032,                0.47937,                0.47624,                0.44042,                0.20864,                 1.1882,                 3.4786,                  2.018,                 1.6886,             0.00066421,             0.00066421,             0.00066421
                      2,                 1.2769,                 2.6862,                   1.68,                 1.7828,                 0.6082,                0.61264,                0.59492,                0.32422,                0.58418,                0.57011,                0.55785,                0.27734,                 1.3414,                 3.0589,                 1.9005,                 1.7506,              0.0011991,              0.0011991,              0.0011991
                      3,                 1.2581,                 2.6232,                 1.4998,                 1.7585,                0.68183,                    0.6,                0.61609,                0.32929,                 0.6273,                0.52069,                0.51484,                0.24556,                  1.306,                 3.4408,                 1.7507,                   1.73,               0.001602,               0.001602,               0.001602
                      4,                 1.1991,                 2.4987,                 1.3807,                 1.6971,                 0.7834,                0.69426,                0.72119,                0.44595,                0.73709,                0.65977,                0.65831,                0.36795,                 1.1326,                 2.9507,                 1.4567,                 1.5617,               0.001406,               0.001406,               0.001406
                      5,                 1.1529,                 2.4299,                 1.3142,                 1.6496,                0.67457,                0.61232,                0.65363,                 0.3813,                0.68827,                0.57471,                0.61714,                0.33078,                 1.1426,                 2.9793,                 1.5997,                 1.5017,               0.001406,               0.001406,               0.001406
                      6,                 1.1391,                 2.3585,                 1.2389,                 1.6272,                0.81269,                0.73793,                0.75923,                0.51324,                0.78022,                0.69425,                0.70131,                0.42705,                 1.0364,                 2.7853,                 1.2943,                  1.445,               0.001208,               0.001208,               0.001208
                      7,                 1.0748,                 2.2574,                  1.158,                 1.5819,                0.80669,                0.71839,                0.76139,                0.51645,                0.73898,                0.66437,                0.66456,                0.38509,                  1.031,                 3.0317,                  1.281,                 1.4595,                0.00101,                0.00101,                0.00101
                      8,                 1.0421,                 2.2188,                 1.1122,                   1.55,                0.83722,                0.73333,                0.78126,                0.53421,                0.79284,                0.67931,                0.71707,                0.43894,                 1.0199,                 2.6864,                 1.1917,                   1.45,               0.000812,               0.000812,               0.000812
                      9,                 0.9911,                 2.1196,                 1.0299,                 1.5075,                0.85249,                0.72414,                0.78629,                0.54074,                0.82572,                 0.6954,                0.74998,                0.46585,                0.99682,                 2.5362,                 1.1598,                 1.3801,               0.000614,               0.000614,               0.000614
                     10,                0.96636,                 2.0379,                  1.008,                 1.4982,                0.84862,                0.74253,                0.81003,                0.58031,                0.84307,                0.72249,                0.77729,                0.50128,                 0.9284,                 2.3893,                 1.0411,                   1.33,               0.000416,               0.000416,               0.000416
